Liquidus temperature,Solidus temperature,Mole fraction Ti,Mole fraction Zr,Mole fraction Hf,Mole fraction V,Mole fraction Nb,Mole fraction Ta,Mole fraction Cr,Mole fraction Mo,Mole fraction W,Mole fraction Re
2054.99755,1608.14057,0.06159,0.26486,0.04115,0.22642,0.08696,0.07734,0.15138,0.03041,0.04634,0.01355
1602.88036,1574.93924,0.13114,0.37958,0.05609,0.16713,0.08022,0.001,0.18184,0.001,0.001,0.001
1941.97802,1619.43574,0.10782,0.25288,0.06356,0.17412,0.09359,0.0701,0.18749,0.02373,0.02571,0.001
2039.14771,1606.90872,0.06235,0.26535,0.04323,0.22783,0.08713,0.07498,0.154,0.0289,0.04519,0.01103
1954.4929,1650.48049,0.13048,0.19275,0.14129,0.14099,0.09315,0.05873,0.18036,0.03506,0.02618,0.001
1683.73832,1612.31759,0.2926,0.16869,0.13816,0.13769,0.07426,0.001,0.1846,0.001,0.001,0.001
1937.76356,1616.63894,0.10315,0.26186,0.05793,0.17972,0.09415,0.06803,0.1837,0.02601,0.02445,0.001
1660.57573,1608.4664,0.19608,0.23647,0.10526,0.13659,0.10025,0.001,0.21593,0.00642,0.001,0.001
1948.66816,1619.03569,0.10612,0.25515,0.06151,0.17518,0.09355,0.07122,0.18518,0.0252,0.02589,0.001
1611.19114,1568.29182,0.18857,0.35309,0.06747,0.17627,0.05026,0.001,0.16034,0.001,0.001,0.001
1817.11529,1635.98251,0.14569,0.21444,0.12253,0.1316,0.1014,0.04127,0.21108,0.02621,0.00479,0.001
1869.6239,1611.09293,0.10027,0.26225,0.06379,0.19396,0.09421,0.05234,0.1924,0.01703,0.02275,0.001
1765.072,1628.54693,0.18344,0.18961,0.13998,0.14307,0.09678,0.02775,0.19905,0.00939,0.00993,0.001
1704.22053,1619.30204,0.30574,0.13749,0.1552,0.14991,0.08006,0.001,0.1676,0.001,0.001,0.001
2027.07196,1638.09858,0.11725,0.21689,0.08682,0.15197,0.08877,0.08813,0.18425,0.02602,0.03438,0.0055
1818.20488,1635.90402,0.18185,0.17327,0.15776,0.14664,0.09474,0.0299,0.18503,0.0131,0.01672,0.001
1752.73005,1619.12861,0.15268,0.26055,0.09142,0.12875,0.1123,0.001,0.21547,0.03583,0.001,0.001
2027.36316,1607.48676,0.06725,0.26545,0.0449,0.22238,0.08809,0.07445,0.1576,0.02872,0.04288,0.00828
2006.2532,1648.17777,0.12176,0.19853,0.11886,0.1487,0.08868,0.07543,0.17962,0.03241,0.03366,0.00235
1838.14853,1609.90577,0.10493,0.26698,0.06419,0.18974,0.09685,0.04434,0.1955,0.01794,0.01853,0.001
2060.46356,1625.30003,0.10101,0.24741,0.05303,0.16874,0.09148,0.08939,0.1698,0.0331,0.03628,0.00976
1940.72488,1615.15536,0.09857,0.26241,0.0574,0.1865,0.09336,0.06742,0.18162,0.02543,0.02629,0.001
1838.33217,1625.06833,0.12897,0.23912,0.0846,0.15832,0.10009,0.04685,0.20605,0.02512,0.00987,0.001
1816.18916,1623.86012,0.12885,0.24254,0.08251,0.16102,0.10339,0.04054,0.20773,0.0262,0.00622,0.001
1906.76001,1611.61409,0.09311,0.26288,0.06083,0.19955,0.09237,0.05917,0.18449,0.02016,0.02644,0.001
1829.8344,1624.642,0.1285,0.2403,0.08295,0.16044,0.10232,0.04358,0.20663,0.02622,0.00805,0.001
2065.71137,1636.98068,0.11182,0.22412,0.07127,0.15468,0.08891,0.09347,0.1785,0.02767,0.03709,0.01248
