V,Nb,Ti,Mo,Ta,Hf,Cr,Zr,W,Re,Liquidus temperature,Solidus temperature
0.18575,0.09083,0.0819,0.04147,0.0933,0.03355,0.14971,0.26155,0.04305,0.01889,2119.35517,1620.20634
0.13198,0.0948,0.21843,0.00462,0.001,0.10795,0.20408,0.23514,0.001,0.001,1666.57641,1607.6023
0.13627,0.07961,0.27141,0.001,0.001,0.12723,0.19251,0.18897,0.001,0.001,1673.82721,1610.22058
0.17153,0.09293,0.10797,0.02513,0.075,0.06387,0.18533,0.2496,0.02763,0.001,1963.71115,1621.15037
0.14038,0.1018,0.14241,0.02113,0.04155,0.09899,0.21622,0.23381,0.00272,0.001,1785.46063,1627.55166
0.22642,0.08696,0.06159,0.03041,0.07734,0.04115,0.15138,0.26486,0.04634,0.01355,2054.99755,1608.14057
0.16713,0.08022,0.13114,0.001,0.001,0.05609,0.18184,0.37958,0.001,0.001,1602.88036,1574.93924
0.17412,0.09359,0.10782,0.02373,0.0701,0.06356,0.18749,0.25288,0.02571,0.001,1941.97802,1619.43574
0.22783,0.08713,0.06235,0.0289,0.07498,0.04323,0.154,0.26535,0.04519,0.01103,2039.14771,1606.90872
0.14099,0.09315,0.13048,0.03506,0.05873,0.14129,0.18036,0.19275,0.02618,0.001,1954.4929,1650.48049
0.13769,0.07426,0.2926,0.001,0.001,0.13816,0.1846,0.16869,0.001,0.001,1683.73832,1612.31759
0.17972,0.09415,0.10315,0.02601,0.06803,0.05793,0.1837,0.26186,0.02445,0.001,1937.76356,1616.63894
0.13659,0.10025,0.19608,0.00642,0.001,0.10526,0.21593,0.23647,0.001,0.001,1660.57573,1608.4664
0.17518,0.09355,0.10612,0.0252,0.07122,0.06151,0.18518,0.25515,0.02589,0.001,1948.66816,1619.03569
0.17627,0.05026,0.18857,0.001,0.001,0.06747,0.16034,0.35309,0.001,0.001,1611.19114,1568.29182
0.1316,0.1014,0.14569,0.02621,0.04127,0.12253,0.21108,0.21444,0.00479,0.001,1817.11529,1635.98251
0.19396,0.09421,0.10027,0.01703,0.05234,0.06379,0.1924,0.26225,0.02275,0.001,1869.6239,1611.09293
0.14307,0.09678,0.18344,0.00939,0.02775,0.13998,0.19905,0.18961,0.00993,0.001,1765.072,1628.54693
0.14991,0.08006,0.30574,0.001,0.001,0.1552,0.1676,0.13749,0.001,0.001,1704.22053,1619.30204
0.15197,0.08877,0.11725,0.02602,0.08813,0.08682,0.18425,0.21689,0.03438,0.0055,2027.07196,1638.09858
0.14664,0.09474,0.18185,0.0131,0.0299,0.15776,0.18503,0.17327,0.01672,0.001,1818.20488,1635.90402
0.12875,0.1123,0.15268,0.03583,0.001,0.09142,0.21547,0.26055,0.001,0.001,1752.73005,1619.12861
0.22238,0.08809,0.06725,0.02872,0.07445,0.0449,0.1576,0.26545,0.04288,0.00828,2027.36316,1607.48676
0.1487,0.08868,0.12176,0.03241,0.07543,0.11886,0.17962,0.19853,0.03366,0.00235,2006.2532,1648.17777
0.18974,0.09685,0.10493,0.01794,0.04434,0.06419,0.1955,0.26698,0.01853,0.001,1838.14853,1609.90577
0.16874,0.09148,0.10101,0.0331,0.08939,0.05303,0.1698,0.24741,0.03628,0.00976,2060.46356,1625.30003
0.1865,0.09336,0.09857,0.02543,0.06742,0.0574,0.18162,0.26241,0.02629,0.001,1940.72488,1615.15536
0.15832,0.10009,0.12897,0.02512,0.04685,0.0846,0.20605,0.23912,0.00987,0.001,1838.33217,1625.06833
0.16102,0.10339,0.12885,0.0262,0.04054,0.08251,0.20773,0.24254,0.00622,0.001,1816.18916,1623.86012
0.19955,0.09237,0.09311,0.02016,0.05917,0.06083,0.18449,0.26288,0.02644,0.001,1906.76001,1611.61409
0.16044,0.10232,0.1285,0.02622,0.04358,0.08295,0.20663,0.2403,0.00805,0.001,1829.8344,1624.642
0.15468,0.08891,0.11182,0.02767,0.09347,0.07127,0.1785,0.22412,0.03709,0.01248,2065.71137,1636.98068
0.10904,0.13431,0.11954,0.13072,0.07451,0.1867,0.13922,0.0651,0.04075,0.0001,2260.53704,1784.49512
0.14342,0.09379,0.11928,0.06235,0.06437,0.18888,0.14614,0.11501,0.04553,0.02123,2122.58532,1721.20811
0.09338,0.09555,0.09079,0.08897,0.11322,0.06784,0.06765,0.09421,0.11458,0.17381,2667.50972,2060.79184
0.10003,0.09231,0.09959,0.08689,0.09723,0.08171,0.08235,0.14263,0.09116,0.1261,2492.31662,1892.25183
0.10338,0.0889,0.07777,0.08753,0.13131,0.01462,0.05846,0.15109,0.11127,0.17567,2694.95485,1997.23727
0.10126,0.22756,0.2509,0.0192,0.00716,0.19669,0.10348,0.09355,0.0001,0.0001,2012.3132,1726.14502
0.09581,0.09497,0.10368,0.08623,0.0921,0.10247,0.08443,0.11262,0.09557,0.13212,2502.23208,1936.77325
0.11783,0.09409,0.11405,0.0674,0.07919,0.15125,0.12311,0.11824,0.06929,0.06555,2287.3736,1787.22741
0.10749,0.11417,0.10864,0.11417,0.09327,0.16024,0.12386,0.0638,0.07686,0.03751,2390.33779,1848.18467
0.11733,0.11967,0.1208,0.0974,0.07785,0.18151,0.1272,0.09449,0.05193,0.01183,2244.43983,1757.7774
0.0001,0.0001,0.15871,0.02507,0.0001,0.0001,0.01804,0.79234,0.0001,0.00533,1949.45299,1853.97526
0.11734,0.09282,0.09787,0.07678,0.10588,0.05662,0.1025,0.18893,0.07262,0.08864,2400.57153,1765.60634
0.13028,0.09467,0.11962,0.05308,0.0731,0.17222,0.14522,0.11785,0.05695,0.037,2178.7499,1735.18019
0.10898,0.10216,0.11232,0.08651,0.08393,0.15571,0.11168,0.09619,0.07488,0.06765,2354.48677,1831.59375
0.09761,0.09393,0.09391,0.09253,0.10681,0.05385,0.07149,0.15508,0.09532,0.13949,2552.61469,1918.55588
